power,frequency,xhop,yhop,amp,BER
5.0,20,3, 0,0.775411455923,0.48921486572
5.0,20,-1, 3,0.3438698108,0.842629125052
5.0,20,0, -2,1.17892834186,0.258108289484
5.0,20,-2, -3,0.208700192248,0.937203905922
5.0,20,-2, -1,1.50631872057,0.142930793075
5.0,20,1, -3,0.274393910103,0.896955908965
5.0,20,0, -4,0.114027641808,0.975346393102
5.0,20,1, 3,0.351276941258,0.838033564191
5.0,20,1, 1,4.59796503946,5.8239650737e-05
5.0,20,-3, -2,0.384105603933,0.809585140717
5.0,20,4, -2,0.195317106582,0.942733560774
5.0,20,3, 2,0.320000387168,0.860641899604
5.0,20,-1, 1,4.55878991453,6.78798838716e-05
5.0,20,2, 3,0.235656964409,0.923036074787
5.0,20,4, -3,0.0991730365873,0.977865699907
5.0,20,0, 1,7.67921230983,0
5.0,20,4, 2,0.193232467411,0.945958916289
5.0,20,-3, -1,0.625382563047,0.603836849907
5.0,20,-3, 1,0.629387983064,0.59985491206
5.0,20,4, 0,0.373198048901,0.819203721011
5.0,20,-1, -2,0.948419464053,0.378304591425
5.0,20,-1, -4,0.109446381377,0.974937909069
5.0,20,3, 3,0.145816728656,0.964702922246
5.0,20,4, -4,0.0605287453588,0.983272610657
5.0,20,2, -2,0.607049505522,0.616446048174
5.0,20,2, 1,1.54534370015,0.132372520084
5.0,20,-2, 0,2.60580622585,0.0133212771602
5.0,20,0, 3,0.395091059153,0.800195664621
5.0,20,2, 2,0.619329108956,0.609010935941
5.0,20,-2, 2,0.604265260826,0.619260213668
5.0,20,-3, 3,0.208643791865,0.937483951947
5.0,20,0, -1,7.68442464263,0
5.0,20,3, -2,0.310299732476,0.870105034322
5.0,20,-1, 2,0.947325002789,0.377929552587
5.0,20,3, 1,0.622071353105,0.607112483289
5.0,20,0, -3,0.296581593591,0.880484899166
5.0,20,-1, -1,4.58151607126,6.20052615622e-05
5.0,20,-2, -2,0.617713645788,0.608620370214
5.0,20,1, 2,0.940979262684,0.381678263994
5.0,20,1, -2,0.9351947991,0.385201064223
5.0,20,-3, -3,0.156038955283,0.961705063765
5.0,20,1, -4,0.102028275394,0.977633910906
5.0,20,2, 0,2.62217381607,0.0127974571183
5.0,20,-2, -4,0.0964358613959,0.978178147379
5.0,20,-1, 0,11.101085788,0
5.0,20,3, -4,0.0685122012452,0.982105172531
5.0,20,2, -4,0.0766403294356,0.98078210054
5.0,20,-3, 2,0.426668183973,0.772953021831
5.0,20,-3, -4,0.089171765958,0.979903408121
5.0,20,0, 0,31.7940246184,0
5.0,20,4, 1,0.330892717785,0.851562208725
5.0,20,-3, 0,0.772012542301,0.493039211222
5.0,20,-1, -3,0.29333927897,0.883841013515
5.0,20,1, 0,11.0057105335,0
5.0,20,2, -3,0.204853878473,0.940266652642
5.0,20,3, -1,0.59237457202,0.630642099616
5.0,20,-2, 1,1.5131192942,0.140166122285
5.0,20,4, -1,0.315318442756,0.866545020654
5.0,20,2, -1,1.55165898151,0.130520088754
5.0,20,3, -3,0.129842117655,0.970516554777
5.0,20,4, 3,0.112399529766,0.9742590659
5.0,20,0, 2,1.19305834075,0.251989770005
5.0,20,-2, 3,0.260684178222,0.90604269526
5.0,21,3, 0,0.708340803917,0.503762196366
5.0,21,-1, 3,0.316596601505,0.846290852486
5.0,21,0, -2,1.0872498008,0.268703448011
5.0,21,-2, -3,0.191426653961,0.93720238833
5.0,21,-2, -1,1.39752731974,0.149408992576
5.0,21,1, -3,0.251892906052,0.896713238204
5.0,21,0, -4,0.104281365121,0.973058718485
5.0,21,1, 3,0.321532741843,0.84200794452
5.0,21,1, 1,4.39562896668,7.07662510593e-06
5.0,21,-3, -2,0.355612835337,0.809557968066
5.0,21,4, -2,0.179424942652,0.944535509224
5.0,21,3, 2,0.298191226153,0.861046372708
5.0,21,-1, 1,4.35803552946,9.67541087327e-06
5.0,21,2, 3,0.218102594173,0.919306410926
5.0,21,4, -3,0.0902717930724,0.976495837658
5.0,21,0, 1,7.41473665329,0
5.0,21,4, 2,0.178096318259,0.943317114718
5.0,21,-3, -1,0.564184567828,0.621495016586
5.0,21,-3, 1,0.567999340101,0.618120778291
5.0,21,4, 0,0.342940238199,0.822923645751
5.0,21,-1, -2,0.870129039627,0.390450185739
5.0,21,-1, -4,0.0998730320439,0.974833971738
5.0,21,3, 3,0.135106436781,0.962950151632
5.0,21,4, -4,0.0548446194686,0.981762060161
5.0,21,2, -2,0.559448068288,0.626123977794
5.0,21,2, 1,1.43511980237,0.138170483809
5.0,21,-2, 0,2.45587424177,0.0135038438318
5.0,21,0, 3,0.361489500711,0.805875526061
5.0,21,2, 2,0.56760121626,0.617549196132
5.0,21,-2, 2,0.550888590507,0.631458729867
5.0,21,-3, 3,0.191079898616,0.938012764097
5.0,21,0, -1,7.41914892593,0
5.0,21,3, -2,0.285419383657,0.871620046872
5.0,21,-1, 2,0.868079977366,0.391220112188
5.0,21,3, 1,0.571353211519,0.614887766604
5.0,21,0, -3,0.2743770496,0.880435268376
5.0,21,-1, -1,4.38029104049,8.06784868283e-06
5.0,21,-2, -2,0.565421140085,0.619392786642
5.0,21,1, 2,0.863247355363,0.394859427736
5.0,21,1, -2,0.858236292296,0.398067067005
5.0,21,-3, -3,0.143939250322,0.960636441549
5.0,21,1, -4,0.0927158155455,0.976433446184
5.0,21,2, 0,2.47140496141,0.0130838615188
5.0,21,-2, -4,0.0877937528867,0.977352908016
5.0,21,-1, 0,10.7711985501,0
5.0,21,3, -4,0.0619437163961,0.98125542285
5.0,21,2, -4,0.0695126373752,0.980836296941
5.0,21,-3, 2,0.389976436785,0.77963473867
5.0,21,-3, -4,0.0806118652744,0.978157791087
5.0,21,0, 0,31.2683151223,0
5.0,21,4, 1,0.30359016669,0.854565397361
5.0,21,-3, 0,0.699525326921,0.510279898185
5.0,21,-1, -3,0.270679879078,0.882053442583
5.0,21,1, 0,10.6743136219,0
5.0,21,2, -3,0.189412532679,0.936872322037
5.0,21,3, -1,0.543498911278,0.638092804596
5.0,21,-2, 1,1.40450416781,0.147270129451
5.0,21,4, -1,0.292619097851,0.865998086498
5.0,21,2, -1,1.44112520688,0.13639025482
5.0,21,3, -3,0.118500655879,0.968848038766
5.0,21,4, 3,0.103381046778,0.974128460113
5.0,21,0, 2,1.10052849215,0.262998306378
5.0,21,-2, 3,0.240095674592,0.905677116953
5.0,22,3, 0,0.646941703926,0.523082680296
5.0,22,-1, 3,0.291161933131,0.853287059757
5.0,22,0, -2,1.00296406921,0.282497238916
5.0,22,-2, -3,0.175298757457,0.940827477026
5.0,22,-2, -1,1.29917855164,0.157915043626
5.0,22,1, -3,0.230731007877,0.904506537471
5.0,22,0, -4,0.0950220007428,0.976004064646
5.0,22,1, 3,0.293465295692,0.851083765289
5.0,22,1, 1,4.20063541375,8.39358017555e-06
5.0,22,-3, -2,0.32942694447,0.816974860978
5.0,22,4, -2,0.164345351724,0.949642505189
5.0,22,3, 2,0.27795215718,0.863951942599
5.0,22,-1, 1,4.16521761119,1.1297351833e-05
5.0,22,2, 3,0.201873758122,0.925748681305
5.0,22,4, -3,0.0817540693741,0.979308374552
5.0,22,0, 1,7.15250280491,0
5.0,22,4, 2,0.163916282486,0.948165762691
5.0,22,-3, -1,0.510038302457,0.643933477709
5.0,22,-3, 1,0.513727680236,0.638889626251
5.0,22,4, 0,0.314903341213,0.831991256326
5.0,22,-1, -2,0.798179584013,0.408896222019
5.0,22,-1, -4,0.0907761997882,0.976880653134
5.0,22,3, 3,0.125368636629,0.966543634529
5.0,22,4, -4,0.0493828717355,0.984357233287
5.0,22,2, -2,0.514884038955,0.638990253961
5.0,22,2, 1,1.33407599511,0.147092075519
5.0,22,-2, 0,2.31731026647,0.0136776208426
5.0,22,0, 3,0.329925481918,0.814880146552
5.0,22,2, 2,0.519313145856,0.636158142517
5.0,22,-2, 2,0.50193530057,0.650279623321
5.0,22,-3, 3,0.174583272855,0.942382204007
5.0,22,0, -1,7.15608441953,0
5.0,22,3, -2,0.262090496581,0.876422624541
5.0,22,-1, 2,0.795955291443,0.410763201639
5.0,22,3, 1,0.524391790289,0.630391751201
5.0,22,0, -3,0.25384413658,0.887012427625
5.0,22,-1, -1,4.18671055123,9.25861668476e-06
5.0,22,-2, -2,0.517124601047,0.637032481526
5.0,22,1, 2,0.792021644346,0.41315176774
5.0,22,1, -2,0.787191161928,0.417351274267
5.0,22,-3, -3,0.132826779064,0.963012743422
5.0,22,1, -4,0.0838794408874,0.978363107271
5.0,22,2, 0,2.33063000383,0.013203912305
5.0,22,-2, -4,0.0795358777387,0.979520966719
5.0,22,-1, 0,10.4399587499,0
5.0,22,3, -4,0.0556486882838,0.983171051363
5.0,22,2, -4,0.0628723499577,0.982695216345
5.0,22,-3, 2,0.355988456409,0.789952102234
5.0,22,-3, -4,0.0723741520658,0.980849379312
5.0,22,0, 0,30.7078703995,0
5.0,22,4, 1,0.277925653381,0.864044425566
5.0,22,-3, 0,0.635986817954,0.533181972479
5.0,22,-1, -3,0.249334473914,0.890318116496
5.0,22,1, 0,10.3422897054,0
5.0,22,2, -3,0.174914146023,0.941048799313
5.0,22,3, -1,0.498331417862,0.654644522132
5.0,22,-2, 1,1.30637406124,0.155333472012
5.0,22,4, -1,0.271514192543,0.868277162696
5.0,22,2, -1,1.33962947079,0.144838408365
5.0,22,3, -3,0.107794496903,0.972990164759
5.0,22,4, 3,0.0950185969217,0.976035341345
5.0,22,0, 2,1.01605650615,0.274274627649
5.0,22,-2, 3,0.220895947633,0.91283408528
5.0,23,3, 0,0.588405883347,0.548392526281
5.0,23,-1, 3,0.267537729578,0.858974614895
5.0,23,0, -2,0.923102264099,0.298707131494
5.0,23,-2, -3,0.160484675592,0.946087044828
5.0,23,-2, -1,1.20728330391,0.16687833412
5.0,23,1, -3,0.210988670858,0.910603661609
5.0,23,0, -4,0.0863123603212,0.976825484765
5.0,23,1, 3,0.266746059616,0.862299168282
5.0,23,1, 1,4.02652164065,2.06188997257e-05
5.0,23,-3, -2,0.305753968013,0.824910078156
5.0,23,4, -2,0.150130047732,0.951456102743
5.0,23,3, 2,0.259699424166,0.869292145393
5.0,23,-1, 1,3.99322202494,2.5111925281e-05
5.0,23,2, 3,0.187280239723,0.926790701882
5.0,23,4, -3,0.0736387916122,0.981264344527
5.0,23,0, 1,6.9247544206,0
5.0,23,4, 2,0.150849056766,0.950429222617
5.0,23,-3, -1,0.458713048988,0.668827702121
5.0,23,-3, 1,0.462277400948,0.666626428318
5.0,23,4, 0,0.288982204305,0.839520068247
5.0,23,-1, -2,0.729698821483,0.427969937372
5.0,23,-1, -4,0.0821853962467,0.978938292828
5.0,23,3, 3,0.116899055449,0.967627169608
5.0,23,4, -4,0.0441158252784,0.985134042059
5.0,23,2, -2,0.472688633278,0.655895305527
5.0,23,2, 1,1.2394059897,0.155667251582
5.0,23,-2, 0,2.19075454949,0.0146640140954
5.0,23,0, 3,0.299906228445,0.827298862471
5.0,23,2, 2,0.473186968354,0.6565924809
5.0,23,-2, 2,0.455313764448,0.674148179427
5.0,23,-3, 3,0.159181552926,0.946670249141
5.0,23,0, -1,6.92763718729,0
5.0,23,3, -2,0.240405501761,0.88411261196
5.0,23,-1, 2,0.72740620135,0.429927355592
5.0,23,3, 1,0.479933425765,0.649431819652
5.0,23,0, -3,0.235349349448,0.888580305017
5.0,23,-1, -1,4.01413878581,2.24355058447e-05
5.0,23,-2, -2,0.471152025102,0.659167995244
5.0,23,1, 2,0.72426101457,0.433527395866
5.0,23,1, -2,0.71951774196,0.437298094929
5.0,23,-3, -3,0.122964297683,0.963634995956
5.0,23,1, -4,0.075541849857,0.980324123305
5.0,23,2, 0,2.20140779683,0.0143069415499
5.0,23,-2, -4,0.0716422022768,0.981236937451
5.0,23,-1, 0,10.1586899463,0
5.0,23,3, -4,0.0495916485185,0.984255155486
5.0,23,2, -4,0.0567856312697,0.983582208323
5.0,23,-3, 2,0.32372675729,0.806118253032
5.0,23,-3, -4,0.0643920072024,0.982566343542
5.0,23,0, 0,30.295925451,0
5.0,23,4, 1,0.253755953322,0.871984162952
5.0,23,-3, 0,0.575828454134,0.55817881491
5.0,23,-1, -3,0.229396342752,0.895203191911
5.0,23,1, 0,10.0595971336,0
5.0,23,2, -3,0.161554851535,0.94455170763
5.0,23,3, -1,0.455805821667,0.672166209976
5.0,23,-2, 1,1.21486616008,0.164615176018
5.0,23,4, -1,0.25229077761,0.874529841131
5.0,23,2, -1,1.24455212865,0.154218828492
5.0,23,3, -3,0.0977546197774,0.973020379724
5.0,23,4, 3,0.0874602023388,0.977920598011
5.0,23,0, 2,0.936208568502,0.290442047116
5.0,23,-2, 3,0.203194276968,0.91526024469
5.0,24,3, 0,0.533376531157,0.572955539803
5.0,24,-1, 3,0.245367411941,0.868420768743
5.0,24,0, -2,0.847658562951,0.32353535791
5.0,24,-2, -3,0.146748266891,0.948022884514
5.0,24,-2, -1,1.1215427041,0.181489992619
5.0,24,1, -3,0.192365656707,0.915099918187
5.0,24,0, -4,0.0780054042473,0.977606645054
5.0,24,1, 3,0.241174175611,0.871512560173
5.0,24,1, 1,3.85466371431,7.45670493608e-06
5.0,24,-3, -2,0.283959296385,0.828504124752
5.0,24,4, -2,0.136526390194,0.954054368465
5.0,24,3, 2,0.242759160354,0.870749321587
5.0,24,-1, 1,3.82387296701,9.63193335099e-06
5.0,24,2, 3,0.173913744195,0.931160745076
5.0,24,4, -3,0.0658040439079,0.979161327634
5.0,24,0, 1,6.6932058046,0
5.0,24,4, 2,0.138617387465,0.95362987284
5.0,24,-3, -1,0.411719844876,0.695631817824
5.0,24,-3, 1,0.415185702522,0.690572358951
5.0,24,4, 0,0.264840392494,0.848849237574
5.0,24,-1, -2,0.665063980232,0.457725933075
5.0,24,-1, -4,0.0739810952812,0.978029377596
5.0,24,3, 3,0.109421317839,0.967627522225
5.0,24,4, -4,0.0389842648641,0.98391419985
5.0,24,2, -2,0.432463657143,0.673857844527
5.0,24,2, 1,1.15015307172,0.16976857327
5.0,24,-2, 0,2.07038223334,0.016203866738
5.0,24,0, 3,0.271286097435,0.841897059743
5.0,24,2, 2,0.429223930734,0.675786776728
5.0,24,-2, 2,0.411519212138,0.695157199148
5.0,24,-3, 3,0.14467596316,0.94953047903
5.0,24,0, -1,6.69539312469,0
5.0,24,3, -2,0.220005765281,0.890453769266
5.0,24,-1, 2,0.663179824185,0.459897174555
5.0,24,3, 1,0.437915522375,0.667028365595
5.0,24,0, -3,0.218397480705,0.893820475566
5.0,24,-1, -1,3.844030212,8.47164177506e-06
5.0,24,-2, -2,0.427725539044,0.679736797886
5.0,24,1, 2,0.660443873719,0.461455212317
5.0,24,1, -2,0.655431262792,0.465931471035
5.0,24,-3, -3,0.114105586432,0.964919999231
5.0,24,1, -4,0.0676155540243,0.979765336932
5.0,24,2, 0,2.07755475926,0.0158297487758
5.0,24,-2, -4,0.0640175528361,0.979630773606
5.0,24,-1, 0,9.86818146933,0
5.0,24,3, -4,0.0437194246878,0.982940252561
5.0,24,2, -4,0.0512212035829,0.982255363442
5.0,24,-3, 2,0.293290646171,0.819371300032
5.0,24,-3, -4,0.0565869714081,0.981405505744
5.0,24,0, 0,29.833292576,0
5.0,24,4, 1,0.2308110673,0.87933609994
5.0,24,-3, 0,0.521035033173,0.586790264077
5.0,24,-1, -3,0.210472498162,0.898639812227
5.0,24,1, 0,9.76823169802,0
5.0,24,2, -3,0.148995639175,0.946783714832
5.0,24,3, -1,0.415806106323,0.690262339532
5.0,24,-2, 1,1.12953394851,0.177965692769
5.0,24,4, -1,0.234379687107,0.8784934825
5.0,24,2, -1,1.15481243335,0.168065939842
5.0,24,3, -3,0.0882674607183,0.973401270965
5.0,24,4, 3,0.0805577683267,0.977603820348
5.0,24,0, 2,0.861188821894,0.315200974582
5.0,24,-2, 3,0.186667952589,0.919394146315
5.0,25,3, 0,0.482318370036,0.595381966594
5.0,25,-1, 3,0.225787462425,0.872481432449
5.0,25,0, -2,0.777922378637,0.338867983982
5.0,25,-2, -3,0.134922652934,0.952125715673
5.0,25,-2, -1,1.04375431199,0.190001839783
5.0,25,1, -3,0.175805151073,0.922052712741
5.0,25,0, -4,0.0704639821905,0.978164031165
5.0,25,1, 3,0.21756744843,0.880548587642
5.0,25,1, 1,3.70701571899,1.02235691284e-05
5.0,25,-3, -2,0.265660233593,0.832895193939
5.0,25,4, -2,0.124135022423,0.957163651546
5.0,25,3, 2,0.228534741912,0.872269365282
5.0,25,-1, 1,3.67863989134,1.32014192742e-05
5.0,25,2, 3,0.16284882796,0.930625654331
5.0,25,4, -3,0.0585155956444,0.980420331607
5.0,25,0, 1,6.50185872309,0
5.0,25,4, 2,0.127970086444,0.954146115123
5.0,25,-3, -1,0.36853160133,0.71754589593
5.0,25,-3, 1,0.371870894029,0.715980759844
5.0,25,4, 0,0.243802354003,0.854519627473
5.0,25,-1, -2,0.605039253279,0.47790794699
5.0,25,-1, -4,0.0664991496807,0.978962653183
5.0,25,3, 3,0.103700413395,0.967010420995
5.0,25,4, -4,0.0341061392601,0.984536557377
5.0,25,2, -2,0.395573009603,0.689969278387
5.0,25,2, 1,1.06878639045,0.179884661582
5.0,25,-2, 0,1.96404605571,0.0172466465377
5.0,25,0, 3,0.244928864554,0.855768888104
5.0,25,2, 2,0.388359015995,0.697275690095
5.0,25,-2, 2,0.371104609736,0.716604716819
5.0,25,-3, 3,0.131790821304,0.951719587151
5.0,25,0, -1,6.50345075242,0
5.0,25,3, -2,0.201977401155,0.89795195405
5.0,25,-1, 2,0.603672209544,0.480406961909
5.0,25,3, 1,0.399483491061,0.68493221963
5.0,25,0, -3,0.204322167466,0.896512746625
5.0,25,-1, -1,3.6981989065,1.10144846522e-05
5.0,25,-2, -2,0.387664502358,0.698333396547
5.0,25,1, 2,0.601251388155,0.481044171319
5.0,25,1, -2,0.595838942001,0.487866464848
5.0,25,-3, -3,0.107017074381,0.966284211049
5.0,25,1, -4,0.0604184449242,0.980129954052
5.0,25,2, 0,1.9674011545,0.017071491117
5.0,25,-2, -4,0.0569029205647,0.981400347994
5.0,25,-1, 0,9.63619778045,0
5.0,25,3, -4,0.0381746044562,0.983635032741
5.0,25,2, -4,0.046517835054,0.982869630149
5.0,25,-3, 2,0.265462568891,0.833783585362
5.0,25,-3, -4,0.0490996718418,0.982981035415
5.0,25,0, 0,29.5454677568,0
5.0,25,4, 1,0.210037905025,0.890036403786
5.0,25,-3, 0,0.470676525226,0.60694561832
5.0,25,-1, -3,0.193560336939,0.904598003699
5.0,25,1, 0,9.53478258718,0
5.0,25,2, -3,0.138036761387,0.947583136008
5.0,25,3, -1,0.379566598968,0.70869068054
5.0,25,-2, 1,1.05228016148,0.18657011876
5.0,25,4, -1,0.219094048804,0.880540527246
5.0,25,2, -1,1.07298846376,0.178182685878
5.0,25,3, -3,0.0797735105946,0.976276202053
5.0,25,4, 3,0.074801985656,0.976749434912
5.0,25,0, 2,0.792096829836,0.329496144644
5.0,25,-2, 3,0.17230164705,0.92308855348
5.0,26,3, 0,0.433214647763,0.633124771746
5.0,26,-1, 3,0.206888853333,0.881703788015
5.0,26,0, -2,0.709895854404,0.372980471693
5.0,26,-2, -3,0.123889931146,0.95271891547
5.0,26,-2, -1,0.967864719555,0.209768859138
5.0,26,1, -3,0.159928538984,0.924701367174
5.0,26,0, -4,0.0631991323415,0.978604327278
5.0,26,1, 3,0.194517324766,0.895545669964
5.0,26,1, 1,3.5405345216,1.32267086701e-05
5.0,26,-3, -2,0.247871709225,0.840465587896
5.0,26,4, -2,0.11202597856,0.958963569287
5.0,26,3, 2,0.214567812981,0.874360039408
5.0,26,-1, 1,3.51513645785,1.64653501937e-05
5.0,26,2, 3,0.15237924204,0.932316790311
5.0,26,4, -3,0.0513998680864,0.981102709848
5.0,26,0, 1,6.26676964056,0
5.0,26,4, 2,0.117780932789,0.956783325178
5.0,26,-3, -1,0.328265318972,0.749243867805
5.0,26,-3, 1,0.331518123964,0.745335639275
5.0,26,4, 0,0.223583047931,0.865005123903
5.0,26,-1, -2,0.546881279216,0.516577985039
5.0,26,-1, -4,0.0592939095648,0.97954554155
5.0,26,3, 3,0.0985437969058,0.965915889232
5.0,26,4, -4,0.0292934717455,0.98372515497
5.0,26,2, -2,0.359275964252,0.713216310448
5.0,26,2, 1,0.988561037738,0.199238780748
5.0,26,-2, 0,1.85403225008,0.0180348057802
5.0,26,0, 3,0.219288585808,0.868327342321
5.0,26,2, 2,0.348485356601,0.727329314556
5.0,26,-2, 2,0.332290400762,0.74495031558
5.0,26,-3, 3,0.119475326273,0.956361637738
5.0,26,0, -1,6.26771524989,0
5.0,26,3, -2,0.184651802608,0.905049559737
5.0,26,-1, 2,0.546520224531,0.518014667932
5.0,26,3, 1,0.362039514442,0.711393791263
5.0,26,0, -3,0.191014876702,0.89753946285
5.0,26,-1, -1,3.53371996416,1.37791457006e-05
5.0,26,-2, -2,0.34885676037,0.726813947381
5.0,26,1, 2,0.544014004181,0.519872343263
5.0,26,1, -2,0.537893782006,0.524917383952
5.0,26,-3, -3,0.100586946142,0.964769669198
5.0,26,1, -4,0.0535880147633,0.980486786419
5.0,26,2, 0,1.85297622084,0.0180598814932
5.0,26,-2, -4,0.0499476059319,0.981006915575
5.0,26,-1, 0,9.33380926253,0
5.0,26,3, -4,0.0327624852909,0.983447111546
5.0,26,2, -4,0.0423645033348,0.982654124275
5.0,26,-3, 2,0.238583300481,0.848276461896
5.0,26,-3, -4,0.0416769526731,0.982353629653
5.0,26,0, 0,29.0051766887,0
5.0,26,4, 1,0.189884882732,0.898932696237
5.0,26,-3, 0,0.423960007292,0.643648179168
5.0,26,-1, -3,0.177037608886,0.910977330657
5.0,26,1, 0,9.23240466679,0
5.0,26,2, -3,0.127425488941,0.951131834225
5.0,26,3, -1,0.34443986362,0.732032475492
5.0,26,-2, 1,0.976815721412,0.205177373558
5.0,26,4, -1,0.204154659719,0.886470174205
5.0,26,2, -1,0.992195340386,0.197583764564
5.0,26,3, -3,0.0717171927463,0.976872382646
5.0,26,4, 3,0.0695382884501,0.977190789414
5.0,26,0, 2,0.725036263073,0.361222245489
5.0,26,-2, 3,0.158533959919,0.927909776011
5.0,27,3, 0,0.386567640148,0.658841109079
5.0,27,-1, 3,0.191502335122,0.886327201523
5.0,27,0, -2,0.645011271347,0.398668834787
5.0,27,-2, -3,0.115616802908,0.954482895628
5.0,27,-2, -1,0.896790092088,0.223576217314
5.0,27,1, -3,0.146929260351,0.929451188234
5.0,27,0, -4,0.0569389300678,0.979080609398
5.0,27,1, 3,0.173767566784,0.905939552667
5.0,27,1, 1,3.40543820415,5.43950639703e-06
5.0,27,-3, -2,0.23520539614,0.840645838809
5.0,27,4, -2,0.101468475183,0.96196019316
5.0,27,3, 2,0.204476765042,0.872347529182
5.0,27,-1, 1,3.38254897377,6.76850461646e-06
5.0,27,2, 3,0.14527149439,0.931619371039
5.0,27,4, -3,0.044946796371,0.982300546899
5.0,27,0, 1,6.09211433367,0
5.0,27,4, 2,0.109831017584,0.957371254225
5.0,27,-3, -1,0.290044895618,0.773136955134
5.0,27,-3, 1,0.29302690447,0.771545360241
5.0,27,4, 0,0.207881717486,0.868426974539
5.0,27,-1, -2,0.491218432685,0.543380193287
5.0,27,-1, -4,0.0530623419812,0.980200749874
5.0,27,3, 3,0.0959243973407,0.964206845094
5.0,27,4, -4,0.0247076606898,0.984686582744
5.0,27,2, -2,0.326487639571,0.731476582261
5.0,27,2, 1,0.913551777573,0.214542570454
5.0,27,-2, 0,1.75734030254,0.0195017226302
5.0,27,0, 3,0.196253313954,0.882409785069
5.0,27,2, 2,0.311267888319,0.750146725695
5.0,27,-2, 2,0.296336831487,0.767897444851
5.0,27,-3, 3,0.109506924687,0.956546767958
5.0,27,0, -1,6.09260668652,0
5.0,27,3, -2,0.170623670533,0.907066192478
5.0,27,-1, 2,0.4915518952,0.543973209395
5.0,27,3, 1,0.328279858627,0.729614969906
5.0,27,0, -3,0.181897677605,0.895201056741
5.0,27,-1, -1,3.40060586728,5.72630544086e-06
5.0,27,-2, -2,0.313072167746,0.747703990647
5.0,27,1, 2,0.489261796405,0.54449486728
5.0,27,1, -2,0.482540017713,0.554433833097
5.0,27,-3, -3,0.0967294618078,0.964604774337
5.0,27,1, -4,0.0477874354382,0.98071617122
5.0,27,2, 0,1.75189803118,0.0198237962769
5.0,27,-2, -4,0.0436050972274,0.982205794922
5.0,27,-1, 0,9.12408567706,0
5.0,27,3, -4,0.0277148191632,0.984317647724
5.0,27,2, -4,0.0395442110539,0.98291381474
5.0,27,-3, 2,0.214697481546,0.863254331337
5.0,27,-3, -4,0.0344